procurementMethodType,values,default
aboveThreshold,true,true
competitiveOrdering,false,false
aboveThresholdEU,true,true
aboveThresholdUA.defense,true,true
aboveThresholdUA,true,true
belowThreshold,false,false
closeFrameworkAgreementSelectionUA,false,false
closeFrameworkAgreementUA,true,true
competitiveDialogueEU,true,true
competitiveDialogueEU.stage2,true,true
competitiveDialogueUA,true,true
competitiveDialogueUA.stage2,true,true
esco,true,true
negotiation,true,true
negotiation.quick,true,true
priceQuotation,false,false
reporting,false,false
simple.defense,true,true
