procurementMethodType,values,default
aboveThreshold,false,false
competitiveOrdering,true / false,false
competitiveOrdering.short,true / false,false
competitiveOrdering.long,true / false,false
aboveThresholdEU,false,false
aboveThresholdUA.defense,false,false
aboveThresholdUA,false,false
belowThreshold,false,false
closeFrameworkAgreementSelectionUA,false,false
closeFrameworkAgreementUA,false,false
competitiveDialogueEU,false,false
competitiveDialogueEU.stage2,false,false
competitiveDialogueUA,false,false
competitiveDialogueUA.stage2,false,false
esco,false,false
negotiation,false,false
negotiation.quick,false,false
priceQuotation,false,false
reporting,false,false
simple.defense,false,false
requestForProposal,true / false,false
